"","id","date","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","target"
"1","AS14.01","2014-02-27",6.25,-0.044106092221178,0.0289406444813079,0.628624574225504,0,0,0,0,0,0,0,0,0,0,0,0,5.56047793231507,0,5.14626436994197,6.33333333333333
"2","AS14.01","2014-03-22",6.2,0.0916989418002492,-0.22416428437364,0.639896232542365,0.357594178015502,0.87408805778603,0.266239351859853,0.193654248729439,0,0.172958474719197,0.51879386562545,0.551076473753345,0.442743764360048,0.252036756255321,0.853043399988747,0,5.44948974278318,0.955424953698664,2.41421356237309,6.4
"3","AS14.01","2014-03-23",6.3,0.304113469397323,-0.310271334826399,0.675022908225442,0.492274748414628,1.36351377423683,0.317198465485198,0.319960716840493,0,0.172958474719197,0.801680974653787,0.671983970914092,0.595101338466901,0.252036756255321,1.22653223455887,0,7.18154055035206,1.36731537289396,2.41421356237309,6.8
"4","AS14.01","2014-03-24",6.46666666666667,0.395812411197572,-0.258321151358278,0.691017761273902,0.670874511281403,1.86628770261851,0.36843584839659,0.501216290724061,0,0.172958474719197,1.05778490078899,0.845058107163557,0.595101338466901,0.252036756255321,1.46361727459944,0.287767016252374,6.18154055035206,1.79986735139773,1,6
"5","AS14.01","2014-03-25",6.35,0.668584731693057,-0.574523591679171,0.687514005409632,0.817502672251472,2.53520563110484,0.533315108201296,0.661890765934716,0,0.217844855104171,1.30632328397316,1.17245979043579,0.93652286769956,0.252036756255321,1.89300547486792,0.287767016252374,8.34381821052044,2.44455762473664,1,6.75
"6","AS14.01","2014-03-26",6.43,0.850820362840925,-0.66063064213193,0.693429900204663,0.898961750944606,2.91598951191801,0.478072544426631,0.842416138304237,0,0.217844855104171,1.51403253802425,1.26121215054853,0.93652286769956,0.436848482967704,2.1446346469197,0.287767016252374,7.34381821052043,2.96400846000727,2,6.6
"7","AS14.01","2014-03-27",6.51,0.7301047770441,-0.476554330237423,0.683996595775679,0.790101232405091,3.02406897992233,0.469810245131996,0.847788438796835,0,0.0448863803849743,1.41530861582329,1.26478370570132,0.493779103339511,0.436848482967704,1.74754888351029,0.287767016252374,4.89432846773726,2.93284248008646,2,7
"8","AS14.01","2014-03-28",6.63,0.609389191247276,-0.338497096316542,0.668855413699977,0.830024010990748,3.11325708878488,0.552231155606895,0.900248194936392,0,0.221208921575213,1.37053892715163,1.32023733129758,0.506340869744315,0.436848482967704,1.80368595654411,0.287767016252374,4.57649122254147,3.21505055251074,2,6.4
"9","AS14.01","2014-03-29",6.55,0.367958019653628,-0.430535252263796,0.655374284891975,1.15096837355185,2.81502678786116,0.668255000796891,0.978787830493609,0.261737283713602,0.221208921575213,1.48797014643155,1.27773746489552,0.981697425227659,0.436848482967704,2.07786968127894,0,6.81255920004126,3.15127026781365,2,8
"10","AS14.01","2014-03-30",6.95,0.186884640958392,0.0296555274724727,0.650979829522727,1.22439399509521,2.50848360645084,0.716177992284904,0.818113355282954,0.261737283713602,0.176322541190239,1.57889822634407,1.07573295000817,0.810942596246618,0.436848482967704,2.2916429639985,0,5.65028153987288,2.98603866538658,3,7.5
"11","AS14.01","2014-03-31",7.1,-0.114904323533669,0.14470322240654,0.630383474343416,1.16572727315899,2.05454796368681,0.879329611238404,0.637587982913433,0.261737283713602,0.176322541190239,1.4908648558839,0.897766191149278,0.810942596246618,0.286678225615671,2.08640030050788,0,5.65028153987288,2.5693239536018,2,7.4
"12","AS14.01","2014-04-01",7.26,-0.0545465306352566,0.14470322240654,0.61911417177972,1.2665705235414,1.90320633303085,0.941392146734334,0.61527495946402,0.419648640321728,0.176322541190239,1.60427259042202,0.718928521120337,1.06999829266074,0.504822604980658,2.29431146049273,0,8.09977128265606,2.46758547439297,2,6
"13","AS14.01","2014-04-02",7.06,-0.0545465306352566,-0.223449401382475,0.608664183685445,1.27733091682798,1.86699768903097,0.977359337170321,1.08045972686741,0.682022704214265,0.140539242663952,1.66964837799397,0.951947507891921,1.4400109374099,0.504822604980658,2.47674108099837,0,7.68555772028297,2.46222750073532,1,6.5
"14","AS14.01","2014-04-03",7.08,0.227123169557333,-0.192770016066724,0.610698541352804,1.07717445570135,2.24038531089371,1.00343912015587,1.25373839794527,0.420285420500663,0.280104788230177,1.79599868157553,1.15903287810227,0.964654381926552,0.504822604980658,2.49822405454088,0,7.44948974278318,2.86153602232643,1,6.4
"15","AS14.01","2014-04-04",6.76,-0.195381380731551,-0.652960795802993,0.601481710251404,1.09705911598702,2.71279239358975,0.980364419465123,1.49395656572889,0.420285420500663,0.280104788230177,1.82330603923244,1.35749474604065,0.91583509987561,0.504822604980658,2.28766194761775,0,7.44948974278318,3.15093616627599,0,6.2
"16","AS14.01","2014-04-05",6.5,0.0158708944128908,-0.814027568710687,0.630507725319202,1.2160354366224,2.97681364616408,0.981006182953324,1.49395656572889,0.420285420500663,0.280104788230177,1.91003476648757,1.54620519691366,1.16246631379646,0.218144379364987,2.41557812182485,0,8.86370330515627,3.38222374396441,1,6.8
"17","AS14.01","2014-04-06",6.38,-0.104844691383933,-0.814027568710687,0.647118599235283,1.55817244880822,2.77114745229395,0.80587221109114,1.31724303995626,0.262374063892536,0.280104788230177,1.77985776117073,1.44417799047393,1.16459785953819,0,2.33716060720355,0,6.41421356237309,3.11418493333278,1,6.5
"18","AS14.01","2014-04-07",6.48,-0.391544207651391,-0.583932178842552,0.628010468697167,1.70867056954385,2.63119287348394,0.70870125320925,0.673292048302263,0.206478190632763,0.139565545566226,1.77811987814724,1.13818633778468,0.629665874277379,0,1.99872651413307,0,7.41421356237309,2.87959882110259,1,6.5
"19","AS14.01","2014-04-08",6.48,-0.693333172143451,-0.775678337065998,0.607128629416831,1.56093451326818,2.64907468178926,0.626902062203511,0.427077076755278,0.206478190632763,0.0801032933828858,1.61820322787525,1.02202281708807,0.8084189443985,0,1.91603661949775,0,6.41421356237309,2.63302472693415,1,6.6
"20","AS14.01","2014-04-09",6.52,-0.451902000549803,-0.622281410487241,0.619308737747814,1.46978442845768,2.49063483473288,0.747751646785798,0.307196228110414,0.206478190632763,0.0801032933828858,1.61567787229713,0.995296680865377,0.686571526197823,0,1.73547023818521,0,5.41421356237309,2.51000725722347,1,7.4
"21","AS14.01","2014-04-10",6.76,-0.753690965041863,-0.34616694264548,0.617564335401356,1.45102259680806,2.52228938756622,0.702189068672061,0.307196228110414,0.206478190632763,0.0801032933828858,1.70228564221578,1.03847887199732,0.439940312276971,0,1.98535591852592,0,6,2.53721681324482,0,7.4
"22","AS14.01","2014-04-11",6.88,-0.753690965041863,-0.254128786698226,0.604366539274063,0.971079007125472,2.70601720770547,0.88352332090255,0.307196228110414,0.249831598209332,0.168762507892565,1.72877308227487,1.12622192437731,0.178753070121121,0,2.16147003717385,0,8.64575131106459,2.74018656189594,0,7
"23","AS14.01","2014-04-12",6.98,-0.88949599906329,-0.116071552777346,0.610830188796595,0.92426607202512,2.70486718529846,1.04584219417972,0.574072617894325,0.0433534075765684,0.168762507892565,1.65511890377803,1.16370574542968,0.326809605726286,0,2.34426189306582,0,6.64575131106459,2.82525741414195,0,7.25
"24","AS14.01","2014-04-13",7.13,-0.914645079437629,0.114023837090789,0.62097571776872,0.859219427278268,2.67324800418629,1.18096004405025,0.387213708922665,0.0433534075765684,0.0886592145096794,1.57833615755429,1.03597998704216,0.226188091597096,0,2.43262438500239,0,5.64575131106459,2.87346277935543,0,8
"25","AS14.01","2014-04-14",7.41,-1.17116569925588,0.420817690248301,0.579525418873296,0.815766416077814,2.22698713279623,0.953687023281675,0.516640112013929,0.0433534075765684,0.0886592145096794,1.49314335882936,0.772718297481936,0.226188091597096,0,2.18059139025002,0,4.64575131106459,2.46299603731599,0,7.2
"26","AS14.01","2014-04-15",7.37,-1.2918812850527,0.236741378353794,0.567798673441879,0.768604639157877,2.24048645168165,1.20943799012136,0.776663939477617,0.0433534075765684,0.0886592145096794,1.38459111590269,0.777861746506085,0.3664455381701,0,2.30456043231651,0,3.64575131106459,2.55586101849031,1,6.4
"27","AS14.01","2014-04-16",7.17,-1.17116569925588,0.236741378353794,0.57190163280453,0.834380399428094,2.30319796278131,1.14412355951941,0.876025920900834,0,0,1.38682502913971,0.963948871104475,0.458999653328559,0,2.25212221356656,0,3.82842712474619,2.66170527528427,2,7.2
"28","AS14.01","2014-04-17",7.21,-0.582677218496362,0.0986841444329131,0.583875100925808,0.696675007946761,2.40167187178865,1.01859764304347,0.609149531116923,0,0,1.36982473518267,1.07527902374761,0.310943117723394,0,2.25837200860285,0,3.82842712474619,2.71060032903078,3,6.6
"29","AS14.01","2014-04-18",7.08,-0.477051080924141,0.0296555274724727,0.576955762210319,0.727092027811088,2.59385547202929,0.834850566943345,0.609149531116923,0,0,1.33810504115217,1.24620985476692,0.232811561731463,0,2.00024602905883,0,5.24264068711929,2.78496034291668,3,6.8
"30","AS14.01","2014-04-19",6.84,-0.341246046902714,-0.062382628474781,0.625293248327478,0.836579367755433,2.87153172881569,0.898335943980705,0.659718225331904,0,0,1.28160369461927,1.4698300068912,0.415082070405318,0,2.34017738672221,0,6.24264068711929,3.16001986106662,3,7.8
"31","AS14.01","2014-04-20",6.96,-0.0394570824106537,0.121693683419727,0.630680462212885,0.835338541107987,2.67488935114129,0.59506093118504,0.668740251539812,0.130800467827033,0,1.15298815120314,1.27297051881973,0.505153351643427,0,2.09502771252007,0,6.24264068711929,3.06114397480329,2,7.25
"32","AS14.01","2014-04-21",7.13,-0.114904323533669,0.0986841444329131,0.62494023076587,0.785524653791873,2.61728748396472,0.575221441709485,0.658978125280903,0.130800467827033,0,1.05784220672704,1.16202389691612,0.412599236484968,0,1.97352323994276,0,4.82842712474619,2.92863592552799,2.41421356237309,7.6
"33","AS14.01","2014-04-22",7.21,-0.416693288025729,0.328779534301047,0.620663570293844,0.926353342538568,2.42854472103098,0.511898794218883,0.817661631463788,0.130800467827033,0,1.08420199130876,1.02925411285696,0.598966072151361,0,1.96458842257184,0,6.24264068711929,2.66589496723068,1.4142135623731,7.4
